,M229-Ctrl-4-Day,M229-DDR-1,M229-DTPPy-2,M229-IFNy-4-Day,M229-MRDDR2-1,M229-MRDDR4-1,M229-PLX-AZD-11-Day,M229-PLX-AZD-14-Day,M229-PLX-AZD-4-Day,M229-PLX-AZD-7-Day,M229-PLX-AZD-IFNy-11-Day,M229-PLX-AZD-IFNy-14-Day,M229-PLX-AZD-IFNy-4-Day,M229-PLX-AZD-IFNy-7-Day,M238-DTPP-2,M238-DTPPy-2,M395-RDDR-1,M397-Ctrl-4-Day,M397-DTPP2-2,M397-DTPPy,M397-IFNy-4-Day,M397-PLX-AZD-11-Day,M397-PLX-AZD-14-Day,M397-PLX-AZD-4-Day,M397-PLX-AZD-7-Day,M397-PLX-AZD-IFNy-11-Day,M397-PLX-AZD-IFNy-14-Day,M397-PLX-AZD-IFNy-4-Day,M397-PLX-AZD-IFNy-7-Day,SK28-Ctrl-4-Day,SK28-IFNy-4-Day,SK28-PLX-AZD-11-Day,SK28-PLX-AZD-14-Day,SK28-PLX-AZD-4-Day,SK28-PLX-AZD-7-Day,SK28-PLX-AZD-IFNy-11-Day,SK28-PLX-AZD-IFNy-14-Day,SK28-PLX-AZD-IFNy-4-Day,SK28-PLX-AZD-IFNy-7-Day,SKMEL28-DDR-1,SKMEL28-DTPPy1-1,SKMEL28-MRDDR-1,SKMEL28-MRDDR2-1
SNF5_DN.V1_DN,0.0602246377314491,0.109691004092974,0.0707188717879808,0.0953258938212338,0.195296481723197,0.00653090101771953,0.125971345114564,0.192085862038692,0.090008960617032,0.0580727316985392,0.104481651191394,0.139973144314238,-0.0269513726527649,-0.0366931034785301,0.164618727685264,-0.0772927259073849,-0.027777246269991,-0.29335397485897,0.132428352603067,-0.171158508179793,-0.223609795395803,-0.192743738058491,-0.315999949557319,-0.209887662596509,0.088955106501356,-0.0845006972421165,0.0591083585521418,-0.0839048431772582,-0.166337886203607,-0.0427535977314399,-0.0713292036849776,-0.106759755062387,0.08765853017164,-0.0063818981862547,-0.0268806063236699,0.0248641261462517,0.191694247669976,-0.057530635374812,-0.0144488722230755,0.139634739545292,-0.188552904754356,0.0574428620312842,-0.157165230938971
SNF5_DN.V1_UP,-0.0450790821539222,-0.251221631344922,-0.1893092101647,0.23892108174544,-0.321047467092792,-0.285928287469277,-0.16613732247685,-0.109387685115994,-0.140662584161212,-0.0630472593887696,0.179653100880057,0.236272209198969,0.256100377070452,0.119626445979822,0.203102222696134,0.299122743218379,-0.190125348223488,-0.166024086209468,0.148386463503126,0.308620098962367,0.209441441331764,-0.268662664163825,-0.313867526835842,-0.415436120358696,-0.0640407262089588,0.106862282824348,0.210154899067871,0.160573262560239,-0.0324099177850536,-0.100090884486857,0.129406243890791,-0.22659614335456,0.00990735116829639,-0.0555164041989022,-0.0239870379588017,0.24154654142118,0.254052287922812,0.145301122271279,0.137131702954875,-0.205195557640046,-0.170801329456984,-0.258232981691624,-0.198062897960126
CAMP_UP.V1_DN,0.0167708865847949,-0.0480282018515062,-0.193709469172376,0.0634741073188884,0.249313978276875,-0.179250698947779,0.108463759890867,0.129232180015634,0.106386233856049,0.0135268775630638,0.103408171930731,0.074912733669053,0.0304534324178113,0.0753969938647056,0.305065341420434,0.140361615049249,0.0254092640969522,-0.271220040931941,0.23037278791689,-0.0353255728869865,-0.342415860480551,-0.22047179497476,-0.342204863396988,-0.464493094532651,0.0363972583454004,-0.217920065015108,-0.00377528863472767,-0.268450400238983,-0.315017713006541,-0.0763180051905492,-0.0828826409028695,0.104574402288836,0.115846222482387,0.0870203516120117,0.178922276616215,0.20695016894658,0.347453387594981,0.124263289512915,0.221982457199613,0.213456723641059,-0.281917561253964,0.166384180726759,-0.261205642211405
CAMP_UP.V1_UP,0.117390844220416,-0.359105464902672,-0.321726849621506,0.33582895448545,-0.36408421589985,-0.530080994714014,0.0715416494039957,0.149575216177515,-0.0242466285599704,0.100505748963315,0.374982020472048,0.366927854110605,0.259303454126582,0.300137672927505,0.229746685939058,0.385469970769033,-0.221148409896731,-0.235363167168556,0.190626519845251,0.225638778065364,-0.0590301890125761,-0.30662328994087,-0.489368691970121,-0.509072324973043,0.0475317832667309,-0.10824182742268,0.100615365542569,0.114104223680029,-0.162077760703046,0.0934947936533095,0.308130174510742,0.0196352239271649,0.176257985730663,0.00398588990145982,0.179095451370506,0.367749730145448,0.300949151847437,0.200504046964044,0.299709258482082,0.00119063202951389,-0.35512200655914,0.0730969079776792,-0.497863431900494
LTE2_UP.V1_DN,-0.281291709730817,-0.0272433746275786,-0.155783776413299,0.164350692009999,-0.0336599879539549,-0.392758627303337,-0.214458479311903,-0.143352291108243,-0.335359946812908,-0.283838725971194,0.439418767817461,0.407316067836838,0.337839330027321,0.400768700339501,0.397307178556724,0.482098472805155,-0.232241432998995,-0.163235399157359,0.303934806563339,0.350960695334353,0.27584682522353,-0.41361863359436,-0.521330359148358,-0.622312081551327,-0.250095522057309,-0.0553909324531845,0.135002218992777,0.0134331494945261,-0.128118703193714,-0.109682123429337,0.263155299794777,-0.219771049885356,0.0754574768713359,-0.175143810175797,-0.131431644067562,0.355181618583087,0.481094958596215,0.170683386979978,0.309048813452156,0.157588421373697,-0.196714786708254,0.12982489944817,-0.430611637333422
LTE2_UP.V1_UP,0.178622118068414,0.219853146951193,-0.00882272912018503,0.0737020392771923,0.0925463681783861,-0.251790183198888,0.031209303574534,0.0593319552915296,0.0372670676706756,0.0790695180780283,0.0911189417403637,0.00268607623844777,0.102689321512686,-0.0200341772442455,0.126238771729721,0.136991796110463,-0.00180744681337899,-0.12500584356595,0.0917857837951843,-0.0623535783946822,-0.233578297895494,-0.214343497612235,-0.40908425640704,-0.410612398552324,0.105551239963776,-0.24335708011988,-0.0897838984306186,-0.0711048597332757,-0.3230820962467,0.120424911176943,-0.00122791818202223,-0.0480939979885996,0.250605025522297,0.200507435190471,-0.0319200687504339,0.00690804958651414,0.24816059126214,0.25282399042048,-0.0182515100290463,0.211941300141799,-0.369413545788206,0.0641462016026472,-0.355009780867611
MEK_UP.V1_DN,-0.305746337335463,0.0662384831977478,-0.262208718962519,0.0340433526208718,-0.0106612309351083,-0.41573203405822,-0.348094821815099,-0.246228577990365,-0.383307514269085,-0.429588143524117,0.24880314295653,0.245746491448315,0.262755485636849,0.219285617761878,0.403139870952463,0.511468210891391,-0.132574990679735,-0.066267723636119,0.287924688380314,0.42805853943267,0.334684432366556,-0.234370049293375,-0.366492499587161,-0.557991461339588,-0.245791659918525,-0.0388984333869485,0.1326069829595,0.0452356607412871,-0.111392138292356,-0.0604579416852986,0.233412850149849,-0.16239963494348,0.0430761440352007,-0.185717332432708,-0.0910868147388324,0.273335791671417,0.424729624943854,0.188383105796357,0.22310316976483,0.184212278163524,-0.17966342086586,0.11005498520149,-0.405494699033557
MEK_UP.V1_UP,-0.00379956614890481,-0.00663264481523926,-0.105878552070492,0.00248177973379912,0.0605567350954093,-0.236174987158768,0.168190356200502,0.153096931996528,0.0441208792832377,0.212403176098954,0.133631829294417,0.132352261939076,0.0262368663940405,0.00836631969664767,0.342025162456718,0.242599660981034,-0.0596946141201146,-0.286682102268772,0.315726899791822,0.122491489090304,-0.356275904983183,-0.283555809829798,-0.448390291420716,-0.454763660667232,0.11454413900972,-0.174864663868895,-0.0113055501901358,-0.236263430431686,-0.411837560894754,-0.0641610911197431,-0.0481278463515331,0.147904707296658,0.278866262541048,0.0790021538409098,0.121915375579692,0.243935634248351,0.328568468077714,0.112771848416749,0.0973164552404185,0.179143414563398,-0.373042092331351,0.148173216299487,-0.258167177365873
RAF_UP.V1_DN,0.0805388258210102,0.0136353661468142,-0.302296823428578,-0.0113489986314661,0.163161092521545,-0.116279822794212,0.149686607178515,0.0714610631257941,0.0627976522366872,0.130129134723864,0.178810335489778,0.0969929192747174,-0.00823383396010738,0.0537787085599415,0.261383057173746,0.15580481108576,0.0103695851825928,-0.0420832984862353,0.292028231991405,-0.0157893571748896,-0.197412710394011,-0.209370728513259,-0.406119995533924,-0.490780819216381,-0.0155472015367375,-0.278702325562335,-0.145068734618766,-0.234321406601761,-0.311603904088749,0.0219841815764364,-0.0168852014050668,0.17992566478624,0.27578234669392,0.20626712938608,0.285388340573617,0.279134678671277,0.376977601399,0.208944222204475,0.266029993416255,0.0573929507947559,-0.269431022051814,-0.00682241287992291,-0.204321317467625
RAF_UP.V1_UP,-0.020759714139777,0.0193783799851726,-0.0847533366349375,0.108209722447791,-0.00315882984512197,-0.300700887116041,-0.1035980666751,-0.0283394630808968,-0.177075884582941,-0.0920694486250125,0.0686193422364547,0.131929943148349,-0.0749620215625227,-0.023586951760418,0.316981063142507,0.339518532893602,-0.0235836327072218,-0.0156330278920596,0.260310156718997,0.219990880161654,-0.0556763476395871,-0.257873445921169,-0.414149527486358,-0.450797042366772,-0.00667092702136438,-0.242062767129122,0.0700066699546986,-0.0817096030451465,-0.352192985211889,0.00921900840750706,0.0257409533325015,-0.0290101322110052,0.227774306722024,0.0626336752735694,0.0323765670534994,0.111569075146513,0.384574413379836,0.206362823080151,0.0141783361446333,0.129318871457832,-0.278197859106054,0.110405576575427,-0.293986713817757
